Gene	Mean	Variance	CV2
1700084C06Rik	NA	0.001	NA
1700086D15Rik	NA	0.001	NA
1700086L19Rik	NA	0.022	NA
1700086O06Rik	NA	0.015	NA
1700086P04Rik	NA	0.002	NA
1700088E04Rik	NA	0.01	NA
1700091E21Rik	NA	0.001	NA
1700092K14Rik	NA	0	NA
1700093J21Rik	NA	0	NA
1700093K21Rik	NA	0.005	NA
1700094C10Rik	NA	0.001	NA
1700094D03Rik	NA	0.033	NA
1700095B22Rik	NA	0.005	NA
1700099I09Rik	NA	0.001	NA
1700101I11Rik	NA	0.002	NA
1700102P08Rik	NA	0.003	NA
1700104B16Rik	NA	0.001	NA
1700109H08Rik	NA	0.024	NA
1700109K24Rik	NA	0.002	NA
1700110K17Rik	NA	0	NA
1700112J16Rik	NA	0.003	NA
1700112M01Rik	NA	0.001	NA
1700113A16Rik	NA	0.005	NA
1700119I11Rik	NA	0	NA
1700120B22Rik	NA	0	NA
1700121C08Rik	NA	0.001	NA
1700123M08Rik	NA	0.003	NA
1700123O20Rik	NA	0.019	NA
1700125G22Rik	NA	0	NA
1810009A15Rik	NA	0.04	NA
1810010H24Rik	NA	0.007	NA
1810011H11Rik	NA	0.001	NA
1810011O10Rik	NA	0.001	NA
1810013D15Rik	NA	0	NA
1810013L24Rik	NA	0.029	NA
1810014B01Rik	NA	0.008	NA
1810020O05Rik	NA	0.003	NA
1810021B22Rik	NA	0.002	NA
1810022K09Rik	NA	0.079	NA
1810024B03Rik	NA	0.006	NA
1810026J23Rik	NA	0.041	NA
1810030O07Rik	NA	0.036	NA
1810032O08Rik	NA	0.017	NA
1810037I17Rik	NA	0.081	NA
1810041L15Rik	NA	0.028	NA
1810043G02Rik	NA	0.049	NA
1810043H04Rik	NA	0.025	NA
1810055G02Rik	NA	0.019	NA
1810058I24Rik	NA	0.021	NA
1810059C17Rik	NA	0.001	NA
1810059H22Rik	NA	0.007	NA
1810062O18Rik	NA	0.007	NA
2010001A14Rik	NA	0.007	NA
2010001M06Rik	NA	0.001	NA
2010002M12Rik	NA	0.001	NA
2010003O02Rik	NA	0.011	NA
2010007H06Rik	NA	0.003	NA
2010012O05Rik	NA	0.046	NA
2010012P19Rik	NA	0.001	NA
