Gene	Mean	Variance	CV2
Bcl11b	NA	0.095	NA
Bcl2	NA	0.017	NA
Bcl2l1	NA	0.047	NA
Bcl2l11	NA	0.006	NA
Bcl2l12	NA	0.007	NA
Bcl2l13	NA	0.021	NA
Bcl2l15	NA	0.003	NA
Bcl2l2	NA	0.045	NA
Bcl3	NA	0	NA
Bcl6	NA	0.028	NA
Bcl6b	NA	0.002	NA
Bcl7a	NA	0.133	NA
Bcl7b	NA	0.039	NA
Bcl7c	NA	0.005	NA
Bcl9	NA	0.062	NA
Bcl9l	NA	0.016	NA
Bclaf1	NA	0.355	NA
Bco2	NA	0.003	NA
Bcor	NA	0.023	NA
Bcorl1	NA	0.019	NA
Bcr	NA	0.055	NA
Bcs1l	NA	0.034	NA
Bdh1	NA	0.032	NA
Bdh2	NA	0.002	NA
Bdnf	NA	0.067	NA
Bdp1	NA	0.191	NA
Bean1	NA	0.011	NA
Becn1	NA	0.119	NA
Begain	NA	0.053	NA
Bend3	NA	0.007	NA
Bend4	NA	0.013	NA
Bend5	NA	0.017	NA
Bend6	NA	0.097	NA
Bend7	NA	0.007	NA
Best1	NA	0.002	NA
Bet1	NA	0.03	NA
Bet1l	NA	0.069	NA
Bex1	NA	0.027	NA
Bex2	NA	0.145	NA
Bex4	NA	0.006	NA
Bfar	NA	0.08	NA
Bfsp1	NA	0.001	NA
Bfsp2	NA	0.001	NA
Bglap3	NA	0.002	NA
Bgn	NA	0.006	NA
Bhlha9	NA	0.002	NA
Bhlhb9	NA	0.056	NA
Bhlhe22	NA	0.023	NA
Bhlhe40	NA	0.068	NA
Bhlhe41	NA	0.067	NA
Bhmt2	NA	0.001	NA
Bicc1	NA	0.033	NA
Bicd1	NA	0.181	NA
Bicd2	NA	0.081	NA
Bid	NA	0.009	NA
Bik	NA	0	NA
Bin1	NA	0.352	NA
Bin2	NA	0.004	NA
Bin3	NA	0.028	NA
Birc2	NA	0.069	NA
Birc3	NA	0.005	NA
Birc5	NA	0.002	NA
Birc6	NA	0.239	NA
Bivm	NA	0.029	NA
Blcap	NA	0.065	NA
Blm	NA	0.02	NA
Blmh	NA	0.058	NA
Blnk	NA	0.009	NA
Bloc1s1	NA	0.009	NA
Bloc1s2	NA	0.048	NA
Bloc1s3	NA	0.005	NA
Bloc1s4	NA	0.023	NA
Bloc1s5	NA	0.008	NA
Bloc1s6	NA	0.018	NA
Blvra	NA	0.028	NA
Blvrb	NA	0.008	NA
Blzf1	NA	0.059	NA
Bmf	NA	0.003	NA
Bmi1	NA	0.04	NA
Bmp1	NA	0.142	NA
Bmp2	NA	0.005	NA
Bmp2k	NA	0.028	NA
Bmp3	NA	0.008	NA
Bmp4	NA	0.006	NA
Bmp5	NA	0.002	NA
Bmp7	NA	0.005	NA
Bmp8b	NA	0.001	NA
Bmper	NA	0.006	NA
Bmpr1a	NA	0.033	NA
Bmpr1b	NA	0.023	NA
Bmpr2	NA	0.045	NA
Bms1	NA	0.114	NA
Bmx	NA	0.002	NA
Bmyc	NA	0.076	NA
Bnc2	NA	0.002	NA
Bnip1	NA	0.037	NA
Bnip2	NA	0.11	NA
Bnip3	NA	0.039	NA
Bnip3l	NA	0.047	NA
Bnipl	NA	0.001	NA
Boc	NA	0.022	NA
Bod1	NA	0.03	NA
Bod1l	NA	0.325	NA
Bok	NA	0.02	NA
Bola1	NA	0.016	NA
Bola2	NA	0.033	NA
Bola3	NA	0.033	NA
Bop1	NA	0.025	NA
Bora	NA	0.013	NA
Bpgm	NA	0.024	NA
Bphl	NA	0.032	NA
Bpnt1	NA	0.035	NA
Bptf	NA	0.271	NA
Braf	NA	0.188	NA
Brap	NA	0.058	NA
Brat1	NA	0.043	NA
Brca1	NA	0.002	NA
Brca2	NA	0.046	NA
Brcc3	NA	0.083	NA
Brd1	NA	0.067	NA
Brd2	NA	0.126	NA
Brd3	NA	0.142	NA
Brd4	NA	0.146	NA
Brd7	NA	0.1	NA
Brd8	NA	0.235	NA
Brd9	NA	0.369	NA
Brdt	NA	0.033	NA
Bre	NA	0.024	NA
Brf1	NA	0.036	NA
Brf2	NA	0.007	NA
Bri3	NA	0.015	NA
Bri3bp	NA	0.08	NA
Bricd5	NA	0.001	NA
Brinp1	NA	0.12	NA
Brinp2	NA	0.064	NA
Brinp3	NA	0.033	NA
Brip1	NA	0.001	NA
Brix1	NA	0.031	NA
Brk1	NA	0.094	NA
Brms1	NA	0.03	NA
Brms1l	NA	0.069	NA
Brox	NA	0.044	NA
Brpf1	NA	0.049	NA
Brpf3	NA	0.022	NA
Brsk1	NA	0.067	NA
Brsk2	NA	0.088	NA
Brwd1	NA	0.248	NA
Brwd3	NA	0.06	NA
Bscl2	NA	0.108	NA
Bsdc1	NA	0.076	NA
Bsg	NA	0.404	NA
Bsn	NA	0.097	NA
Bspry	NA	0.001	NA
Bst2	NA	0.009	NA
Btaf1	NA	0.125	NA
Btbd1	NA	0.042	NA
Btbd10	NA	0.083	NA
Btbd11	NA	0.018	NA
Btbd16	NA	0.002	NA
Btbd17	NA	0.031	NA
Btbd19	NA	0.007	NA
Btbd2	NA	0.027	NA
Btbd3	NA	0.105	NA
Btbd6	NA	0.016	NA
Btbd7	NA	0.021	NA
Btbd8	NA	0.015	NA
Btbd9	NA	0.063	NA
Btc	NA	0.001	NA
Btd	NA	0.013	NA
Btf3	NA	0.022	NA
Btf3l4	NA	0.039	NA
Btg1	NA	0.017	NA
Btg2	NA	0.071	NA
Btg3	NA	0.003	NA
Btk	NA	0.002	NA
Btla	NA	0.002	NA
Btn2a2	NA	0.001	NA
Btrc	NA	0.071	NA
Bub1	NA	0.001	NA
Bub1b	NA	0.005	NA
Bub3	NA	0.039	NA
Bud13	NA	0.022	NA
Bud31	NA	0.043	NA
Bves	NA	0.001	NA
BX465866.1	NA	0.001	NA
Bysl	NA	0.013	NA
Bzrap1	NA	0.252	NA
Bzw1	NA	0.063	NA
Bzw2	NA	0.064	NA
C030005K06Rik	NA	0.011	NA
C030005K15Rik	NA	0.002	NA
C030006K11Rik	NA	0.007	NA
C030010L15Rik	NA	0.002	NA
C030013C21Rik	NA	0.001	NA
C030013D06Rik	NA	0.001	NA
C030014I23Rik	NA	0.006	NA
C030017K20Rik	NA	0.002	NA
C030034I22Rik	NA	0.025	NA
C030034L19Rik	NA	0.002	NA
C030037D09Rik	NA	0.009	NA
C030039L03Rik	NA	0.026	NA
C030046E11Rik	NA	0.109	NA
C030047K22Rik	NA	0.001	NA
C130026L21Rik	NA	0.006	NA
C130036L24Rik	NA	0.011	NA
C130046K22Rik	NA	0	NA
C130060C02Rik	NA	0.001	NA
C130071C03Rik	NA	0.132	NA
C130074G19Rik	NA	0.024	NA
C130080G10Rik	NA	0.001	NA
C1d	NA	0.029	NA
C1galt1	NA	0.005	NA
C1galt1c1	NA	0.021	NA
C1qa	NA	0.009	NA
C1qb	NA	0.01	NA
C1qbp	NA	0.041	NA
C1qc	NA	0.016	NA
C1ql1	NA	0.005	NA
C1ql2	NA	0.052	NA
C1ql3	NA	0.15	NA
C1qtnf1	NA	0.001	NA
C1qtnf2	NA	0.001	NA
C1qtnf4	NA	0.114	NA
C1qtnf6	NA	0.003	NA
C1qtnf7	NA	0	NA
C1qtnf9	NA	0	NA
C1ra	NA	0.002	NA
C1rl	NA	0	NA
C1s	NA	0.002	NA
C2	NA	0.002	NA
C230004F18Rik	NA	0.11	NA
C230012O17Rik	NA	0.003	NA
C230014O12Rik	NA	0.001	NA
C230021G24Rik	NA	0.005	NA
C230029F24Rik	NA	0.001	NA
C230034O21Rik	NA	0.003	NA
C230035I16Rik	NA	0.007	NA
C230037L18Rik	NA	0.053	NA
C230052I12Rik	NA	0.004	NA
C230062I16Rik	NA	0.003	NA
C230066G23Rik	NA	0.003	NA
C230081A13Rik	NA	0.056	NA
C2cd2	NA	0.018	NA
C2cd2l	NA	0.065	NA
C2cd3	NA	0.035	NA
C2cd4b	NA	0.008	NA
C2cd4c	NA	0.009	NA
C2cd5	NA	0.138	NA
C3	NA	0.001	NA
C330006A16Rik	NA	0.043	NA
C330007P06Rik	NA	0.03	NA
C330011M18Rik	NA	0.002	NA
C330013E15Rik	NA	0.005	NA
C330018D20Rik	NA	0.015	NA
C330021F23Rik	NA	0.001	NA
C330027C09Rik	NA	0.008	NA
C3ar1	NA	0.001	NA
C430014B12Rik	NA	0	NA
C430049B03Rik	NA	0.004	NA
C4a	NA	0.004	NA
C4b	NA	0.032	NA
C530005A16Rik	NA	0.008	NA
C530008M17Rik	NA	0.035	NA
C530050E15Rik	NA	0.008	NA
C630004M23Rik	NA	0.007	NA
C630016N16Rik	NA	0.008	NA
C630020P19Rik	NA	0.03	NA
C630043F03Rik	NA	0.009	NA
C7	NA	0.001	NA
C730034F03Rik	NA	0.015	NA
C77080	NA	0.008	NA
C77370	NA	0.111	NA
C78339	NA	0.035	NA
C87436	NA	0.033	NA
C8g	NA	0.003	NA
C920006O11Rik	NA	0.017	NA
C920011F04Rik	NA	0.002	NA
C920021L13Rik	NA	0.014	NA
Caap1	NA	0.041	NA
Cab39	NA	0.059	NA
Cab39l	NA	0.022	NA
Cabin1	NA	0.117	NA
Cables1	NA	0.015	NA
Cables2	NA	0.024	NA
Cabp1	NA	0.137	NA
Cabp7	NA	0.012	NA
Cabyr	NA	0.002	NA
Cacfd1	NA	0.04	NA
Cachd1	NA	0.033	NA
Cacna1a	NA	0.203	NA
Cacna1b	NA	0.154	NA
Cacna1c	NA	0.033	NA
Cacna1d	NA	0.152	NA
Cacna1e	NA	0.122	NA
Cacna1f	NA	0	NA
Cacna1g	NA	0.085	NA
Cacna1h	NA	0.063	NA
Cacna1i	NA	0.027	NA
Cacna2d1	NA	0.274	NA
Cacna2d2	NA	0.053	NA
Cacna2d3	NA	0.06	NA
Cacna2d4	NA	0.006	NA
Cacnb1	NA	0.059	NA
Cacnb2	NA	0.066	NA
Cacnb3	NA	0.071	NA
Cacnb4	NA	0.226	NA
Cacng2	NA	0.082	NA
Cacng3	NA	0.091	NA
Cacng4	NA	0.031	NA
Cacng5	NA	0.008	NA
Cacng6	NA	0.001	NA
Cacng7	NA	0.039	NA
Cacng8	NA	0.012	NA
Cactin	NA	0.025	NA
Cacul1	NA	0.033	NA
Cacybp	NA	0.064	NA
Cad	NA	0.013	NA
Cadm1	NA	0.234	NA
Cadm2	NA	0.333	NA
Cadm3	NA	0.169	NA
Cadm4	NA	0.066	NA
Cadps	NA	0.181	NA
Cadps2	NA	0.038	NA
Cage1	NA	0.013	NA
Calb1	NA	0.127	NA
Calb2	NA	0.013	NA
Calca	NA	0.001	NA
Calcoco1	NA	0.071	NA
Calcrl	NA	0.015	NA
Cald1	NA	0.167	NA
Calhm2	NA	0.01	NA
Calm1	NA	0.612	NA
Calm2	NA	0.479	NA
Calm3	NA	0.227	NA
Calml3	NA	0.001	NA
Calml4	NA	0.002	NA
Caln1	NA	0.037	NA
Calr	NA	0.19	NA
Calr3	NA	0.003	NA
Calr4	NA	0.001	NA
Calu	NA	0.031	NA
Caly	NA	0.145	NA
Camk1	NA	0.147	NA
Camk1d	NA	0.088	NA
Camk1g	NA	0.024	NA
Camk2a	NA	0.53	NA
Camk2b	NA	0.451	NA
Camk2d	NA	0.097	NA
Camk2g	NA	0.176	NA
Camk2n1	NA	0.394	NA
Camk2n2	NA	0.016	NA
Camk4	NA	0.173	NA
Camkk1	NA	0.129	NA
Camkk2	NA	0.192	NA
Camkmt	NA	0.02	NA
Camkv	NA	0.319	NA
Caml	NA	0.107	NA
Camsap1	NA	0.066	NA
Camsap2	NA	0.101	NA
Camsap3	NA	0.02	NA
Camta1	NA	0.261	NA
Camta2	NA	0.11	NA
Cand1	NA	0.035	NA
Cand2	NA	0.003	NA
Cant1	NA	0.038	NA
Canx	NA	0.258	NA
Cap1	NA	0.073	NA
Cap2	NA	0.105	NA
Capg	NA	0.003	NA
Capn1	NA	0.009	NA
Capn10	NA	0.035	NA
Capn11	NA	0.002	NA
Capn12	NA	0.007	NA
Capn15	NA	0.058	NA
Capn2	NA	0.068	NA
Capn3	NA	0.016	NA
Capn5	NA	0.01	NA
Capn6	NA	0.003	NA
Capn7	NA	0.057	NA
Capn9	NA	0.001	NA
Capns1	NA	0.087	NA
Caprin1	NA	0.102	NA
Caprin2	NA	0.047	NA
Caps2	NA	0.001	NA
Capsl	NA	0.001	NA
Capza1	NA	0.022	NA
Capza2	NA	0.175	NA
Capzb	NA	0.105	NA
Car10	NA	0.083	NA
Car11	NA	0.318	NA
Car12	NA	0.016	NA
Car14	NA	0.033	NA
Car2	NA	0.139	NA
Car3	NA	0.001	NA
Car4	NA	0.099	NA
Car5a	NA	0.003	NA
Car5b	NA	0.006	NA
Car7	NA	0.053	NA
Car8	NA	0.003	NA
Car9	NA	0.002	NA
Card10	NA	0.009	NA
Card14	NA	0.002	NA
Card6	NA	0.005	NA
Card9	NA	0.002	NA
Carf	NA	0.019	NA
Carhsp1	NA	0.014	NA
Carkd	NA	0.058	NA
Carm1	NA	0.026	NA
Carns1	NA	0.023	NA
Cars	NA	0.07	NA
Cars2	NA	0.029	NA
Cartpt	NA	0.006	NA
Casc1	NA	0.004	NA
Casc3	NA	0.084	NA
Casc4	NA	0.143	NA
Casc5	NA	0.002	NA
Casd1	NA	0.068	NA
Cask	NA	0.083	NA
Caskin1	NA	0.138	NA
Caskin2	NA	0.017	NA
Casp1	NA	0.002	NA
Casp12	NA	0.002	NA
Casp2	NA	0.019	NA
Casp3	NA	0.007	NA
Casp4	NA	0.001	NA
Casp6	NA	0.01	NA
Casp7	NA	0.002	NA
Casp8	NA	0.005	NA
Casp8ap2	NA	0.07	NA
Casp9	NA	0.013	NA
Casq2	NA	0.004	NA
Cast	NA	0.019	NA
Casz1	NA	0.01	NA
Cat	NA	0.017	NA
Catsper2	NA	0.033	NA
Catsperd	NA	0.005	NA
Catsperg1	NA	0.005	NA
Cav1	NA	0.013	NA
Cav2	NA	0.024	NA
Cbfa2t2	NA	0.041	NA
Cbfa2t3	NA	0.043	NA
Cbfb	NA	0.021	NA
Cbl	NA	0.039	NA
Cblb	NA	0.024	NA
Cbll1	NA	0.039	NA
Cbln1	NA	0.001	NA
Cbln2	NA	0.056	NA
Cbln3	NA	0.001	NA
Cbln4	NA	0.006	NA
Cbr1	NA	0.041	NA
Cbr2	NA	0.001	NA
Cbr3	NA	0.003	NA
Cbr4	NA	0.009	NA
Cbs	NA	0.028	NA
Cbwd1	NA	0.023	NA
Cbx1	NA	0.154	NA
Cbx2	NA	0.005	NA
Cbx3	NA	0.052	NA
Cbx4	NA	0.027	NA
Cbx5	NA	0.212	NA
Cbx6	NA	0.162	NA
Cbx7	NA	0.055	NA
Cbx8	NA	0.014	NA
Cby1	NA	0.027	NA
Cby3	NA	0.001	NA
Cc2d1a	NA	0.031	NA
Cc2d1b	NA	0.069	NA
Cc2d2a	NA	0.131	NA
Ccar1	NA	0.199	NA
Ccar2	NA	0.054	NA
Ccbe1	NA	0.014	NA
Ccbl1	NA	0.02	NA
Ccbl2	NA	0.004	NA
Ccdc101	NA	0.026	NA
Ccdc102a	NA	0.001	NA
Ccdc103	NA	0.002	NA
Ccdc104	NA	0.123	NA
Ccdc106	NA	0.036	NA
Ccdc107	NA	0.069	NA
Ccdc108	NA	0.024	NA
Ccdc109b	NA	0.001	NA
Ccdc11	NA	0.002	NA
Ccdc110	NA	0.003	NA
Ccdc111	NA	0.01	NA
Ccdc112	NA	0.072	NA
Ccdc113	NA	0.006	NA
Ccdc114	NA	0.009	NA
Ccdc115	NA	0.026	NA
Ccdc116	NA	0.004	NA
Ccdc117	NA	0.017	NA
Ccdc12	NA	0.029	NA
Ccdc120	NA	0.013	NA
Ccdc122	NA	0.007	NA
Ccdc124	NA	0.041	NA
Ccdc125	NA	0.004	NA
Ccdc126	NA	0.015	NA
Ccdc127	NA	0.09	NA
Ccdc129	NA	0.001	NA
Ccdc13	NA	0.012	NA
Ccdc130	NA	0.029	NA
Ccdc132	NA	0.107	NA
Ccdc134	NA	0.017	NA
Ccdc135	NA	0.003	NA
Ccdc136	NA	0.125	NA
Ccdc137	NA	0.06	NA
Ccdc138	NA	0.017	NA
Ccdc14	NA	0.01	NA
Ccdc141	NA	0.071	NA
Ccdc142	NA	0.004	NA
Ccdc146	NA	0.006	NA
Ccdc148	NA	0.039	NA
Ccdc149	NA	0.026	NA
Ccdc15	NA	0.011	NA
Ccdc150	NA	0.002	NA
Ccdc151	NA	0.014	NA
Ccdc153	NA	0.011	NA
Ccdc155	NA	0.008	NA
Ccdc157	NA	0.031	NA
Ccdc158	NA	0.001	NA
Ccdc159	NA	0.013	NA
Ccdc160	NA	0.003	NA
Ccdc162	NA	0.002	NA
Ccdc163	NA	0.015	NA
Ccdc166	NA	0.007	NA
Ccdc167	NA	0.013	NA
Ccdc169	NA	0.002	NA
Ccdc17	NA	0.011	NA
Ccdc170	NA	0.002	NA
Ccdc171	NA	0.038	NA
Ccdc173	NA	0.038	NA
Ccdc174	NA	0.129	NA
Ccdc176	NA	0.129	NA
Ccdc177	NA	0.016	NA
Ccdc18	NA	0.014	NA
Ccdc181	NA	0.03	NA
Ccdc19	NA	0.005	NA
Ccdc22	NA	0.039	NA
Ccdc23	NA	0.018	NA
Ccdc24	NA	0.005	NA
Ccdc25	NA	0.055	NA
Ccdc28a	NA	0.074	NA
Ccdc28b	NA	0.104	NA
Ccdc3	NA	0.009	NA
Ccdc30	NA	0.067	NA
Ccdc32	NA	0.03	NA
Ccdc33	NA	0.004	NA
Ccdc34	NA	0.077	NA
Ccdc36	NA	0.003	NA
Ccdc37	NA	0.042	NA
Ccdc38	NA	0.001	NA
Ccdc39	NA	0.177	NA
Ccdc40	NA	0.003	NA
Ccdc41	NA	0.127	NA
Ccdc41os1	NA	0.03	NA
Ccdc43	NA	0.042	NA
Ccdc47	NA	0.162	NA
Ccdc50	NA	0.198	NA
Ccdc51	NA	0.008	NA
Ccdc53	NA	0.027	NA
Ccdc55	NA	0.061	NA
Ccdc57	NA	0.021	NA
Ccdc58	NA	0.025	NA
Ccdc59	NA	0.106	NA
Ccdc6	NA	0.027	NA
Ccdc60	NA	0.002	NA
Ccdc61	NA	0.013	NA
Ccdc62	NA	0.023	NA
Ccdc63	NA	0.001	NA
Ccdc64	NA	0.041	NA
Ccdc65	NA	0.012	NA
Ccdc66	NA	0.13	NA
Ccdc67	NA	0.002	NA
Ccdc69	NA	0.001	NA
Ccdc71	NA	0.012	NA
Ccdc71l	NA	0.012	NA
Ccdc73	NA	0.009	NA
Ccdc74a	NA	0.021	NA
Ccdc77	NA	0.034	NA
Ccdc78	NA	0.004	NA
Ccdc79	NA	0.009	NA
Ccdc8	NA	0.005	NA
Ccdc80	NA	0.012	NA
Ccdc81	NA	0.005	NA
Ccdc82	NA	0.051	NA
Ccdc84	NA	0.078	NA
Ccdc85a	NA	0.063	NA
Ccdc85b	NA	0.041	NA
Ccdc86	NA	0.017	NA
Ccdc87	NA	0.001	NA
Ccdc88a	NA	0.526	NA
Ccdc88b	NA	0.003	NA
Ccdc88c	NA	0.037	NA
Ccdc89	NA	0	NA
Ccdc9	NA	0.034	NA
Ccdc90b	NA	0.03	NA
Ccdc91	NA	0.017	NA
Ccdc92	NA	0.034	NA
Ccdc93	NA	0.028	NA
Ccdc94	NA	0.008	NA
Ccdc96	NA	0.002	NA
Ccdc97	NA	0.018	NA
Cchcr1	NA	0.014	NA
Cck	NA	0.223	NA
Cckbr	NA	0.055	NA
Ccl17	NA	0.003	NA
Ccl25	NA	0.021	NA
Ccl27a	NA	0.181	NA
Ccl28	NA	0.001	NA
Ccl6	NA	0.001	NA
Ccm2	NA	0.024	NA
Ccm2l	NA	0.009	NA
Ccna1	NA	0.002	NA
Ccna2	NA	0.006	NA
Ccnb1	NA	0.013	NA
Ccnb2	NA	0.005	NA
Ccnc	NA	0.083	NA
Ccnd1	NA	0.033	NA
Ccnd2	NA	0.142	NA
Ccnd3	NA	0.028	NA
Ccndbp1	NA	0.055	NA
Ccne1	NA	0.02	NA
Ccne2	NA	0.018	NA
Ccnf	NA	0.005	NA
Ccng1	NA	0.055	NA
Ccng2	NA	0.032	NA
Ccnh	NA	0.127	NA
Ccni	NA	0.055	NA
Ccnj	NA	0.019	NA
Ccnjl	NA	0.008	NA
Ccnk	NA	0.04	NA
Ccnl1	NA	0.3	NA
Ccnl2	NA	0.322	NA
Ccno	NA	0.003	NA
Ccnt1	NA	0.092	NA
Ccnt2	NA	0.344	NA
Ccny	NA	0.048	NA
Ccnyl1	NA	0.015	NA
Ccp110	NA	0.202	NA
Ccpg1	NA	0.052	NA
Ccr10	NA	0.001	NA
Ccr5	NA	0.003	NA
Ccr9	NA	0.001	NA
Ccrl2	NA	0.001	NA
Ccrn4l	NA	0.049	NA
Ccs	NA	0.022	NA
Ccsap	NA	0.048	NA
Ccser1	NA	0.016	NA
Ccser2	NA	0.181	NA
Cct2	NA	0.072	NA
Cct3	NA	0.064	NA
Cct4	NA	0.056	NA
Cct5	NA	0.076	NA
Cct6a	NA	0.064	NA
Cct6b	NA	0.001	NA
Cct7	NA	0.077	NA
Cct8	NA	0.09	NA
Cct8l1	NA	0.001	NA
Ccz1	NA	0.057	NA
Cd109	NA	0.002	NA
Cd14	NA	0.002	NA
Cd151	NA	0.032	NA
Cd163	NA	0.001	NA
Cd163l1	NA	0.001	NA
Cd164	NA	0.044	NA
Cd164l2	NA	0.004	NA
Cd180	NA	0.002	NA
Cd1d1	NA	0.003	NA
Cd200	NA	0.112	NA
Cd200r1	NA	0.001	NA
Cd200r4	NA	0.001	NA
Cd22	NA	0.001	NA
Cd226	NA	0.002	NA
Cd247	NA	0.001	NA
Cd248	NA	0.004	NA
Cd24a	NA	0.005	NA
Cd27	NA	0.001	NA
Cd274	NA	0.002	NA
Cd276	NA	0.014	NA
Cd2ap	NA	0.183	NA
Cd2bp2	NA	0.038	NA
Cd300a	NA	0.001	NA
Cd300lf	NA	0.001	NA
Cd300lg	NA	0.001	NA
Cd302	NA	0.028	NA
Cd320	NA	0.027	NA
Cd33	NA	0.004	NA
Cd34	NA	0.068	NA
Cd37	NA	0.008	NA
Cd38	NA	0.013	NA
Cd3eap	NA	0.024	NA
Cd4	NA	0	NA
Cd40	NA	0.002	NA
Cd44	NA	0.004	NA
Cd46	NA	0.032	NA
Cd47	NA	0.332	NA
Cd48	NA	0	NA
Cd52	NA	0.001	NA
Cd53	NA	0.003	NA
Cd55	NA	0.01	NA
Cd59a	NA	0.031	NA
Cd59b	NA	0.002	NA
Cd6	NA	0.002	NA
Cd63	NA	0.101	NA
Cd68	NA	0.005	NA
Cd7	NA	0.001	NA
Cd72	NA	0.002	NA
Cd74	NA	0.001	NA
Cd81	NA	0.332	NA
Cd82	NA	0.012	NA
Cd83	NA	0.014	NA
Cd84	NA	0.005	NA
Cd86	NA	0.001	NA
Cd9	NA	0.062	NA
Cd93	NA	0.011	NA
Cd97	NA	0.017	NA
Cd99l2	NA	0.063	NA
Cda	NA	0.003	NA
Cdadc1	NA	0.079	NA
Cdan1	NA	0.047	NA
Cdc123	NA	0.089	NA
Cdc14a	NA	0.015	NA
Cdc14b	NA	0.04	NA
Cdc16	NA	0.077	NA
Cdc20	NA	0.001	NA
Cdc23	NA	0.083	NA
Cdc25a	NA	0.011	NA
Cdc25b	NA	0.046	NA
Cdc25c	NA	0	NA
Cdc26	NA	0.034	NA
Cdc27	NA	0.061	NA
Cdc34	NA	0.022	NA
Cdc34-ps	NA	0.001	NA
Cdc37	NA	0.087	NA
Cdc37l1	NA	0.225	NA
Cdc40	NA	0.172	NA
Cdc42	NA	0.164	NA
Cdc42bpa	NA	0.336	NA
Cdc42bpb	NA	0.065	NA
Cdc42bpg	NA	0.003	NA
Cdc42ep1	NA	0.009	NA
Cdc42ep2	NA	0.006	NA
Cdc42ep3	NA	0.034	NA
Cdc42ep4	NA	0.018	NA
Cdc42ep5	NA	0.002	NA
Cdc42se1	NA	0.048	NA
Cdc42se2	NA	0.07	NA
Cdc45	NA	0.002	NA
Cdc5l	NA	0.062	NA
Cdc6	NA	0.001	NA
Cdc7	NA	0.063	NA
Cdc73	NA	0.052	NA
Cdca2	NA	0.001	NA
Cdca3	NA	0.001	NA
Cdca4	NA	0.013	NA
Cdca7	NA	0.007	NA
Cdca7l	NA	0.005	NA
Cdca8	NA	0.005	NA
Cdcp1	NA	0.001	NA
Cdh1	NA	0.001	NA
Cdh10	NA	0.087	NA
Cdh11	NA	0.1	NA
Cdh12	NA	0.034	NA
Cdh13	NA	0.032	NA
Cdh15	NA	0.002	NA
Cdh18	NA	0.012	NA
Cdh19	NA	0.008	NA
Cdh2	NA	0.058	NA
Cdh20	NA	0.019	NA
Cdh22	NA	0.016	NA
Cdh23	NA	0.001	NA
Cdh24	NA	0.003	NA
Cdh4	NA	0.022	NA
Cdh5	NA	0.012	NA
Cdh6	NA	0.006	NA
Cdh7	NA	0.049	NA
Cdh8	NA	0.079	NA
Cdh9	NA	0.063	NA
Cdhr1	NA	0.004	NA
Cdhr2	NA	0.001	NA
Cdhr3	NA	0.006	NA
Cdhr4	NA	0.006	NA
Cdip1	NA	0.102	NA
Cdipt	NA	0.073	NA
Cdk10	NA	0.066	NA
Cdk11b	NA	0.252	NA
Cdk12	NA	0.148	NA
Cdk13	NA	0.099	NA
Cdk14	NA	0.16	NA
Cdk15	NA	0.001	NA
Cdk16	NA	0.075	NA
Cdk17	NA	0.092	NA
Cdk18	NA	0.015	NA
Cdk19	NA	0.049	NA
Cdk2	NA	0.006	NA
Cdk20	NA	0.013	NA
Cdk2ap1	NA	0.016	NA
Cdk2ap2	NA	0.032	NA
Cdk4	NA	0.07	NA
Cdk5	NA	0.212	NA
Cdk5r1	NA	0.184	NA
Cdk5r2	NA	0.037	NA
Cdk5rap1	NA	0.022	NA
Cdk5rap2	NA	0.044	NA
Cdk5rap3	NA	0.06	NA
Cdk6	NA	0.007	NA
Cdk7	NA	0.072	NA
Cdk8	NA	0.049	NA
Cdk9	NA	0.085	NA
Cdkal1	NA	0.023	NA
Cdkl1	NA	0.043	NA
Cdkl2	NA	0.13	NA
Cdkl3	NA	0.047	NA
Cdkl4	NA	0.011	NA
Cdkl5	NA	0.042	NA
Cdkn1a	NA	0.024	NA
Cdkn1b	NA	0.065	NA
Cdkn1c	NA	0.009	NA
Cdkn2aip	NA	0.028	NA
Cdkn2aipnl	NA	0.024	NA
Cdkn2b	NA	0.004	NA
Cdkn2c	NA	0.002	NA
Cdkn2d	NA	0.035	NA
Cdkn3	NA	0.001	NA
Cdnf	NA	0.001	NA
Cdo1	NA	0.014	NA
Cdon	NA	0.014	NA
Cdpf1	NA	0.018	NA
Cdr1	NA	0.018	NA
Cdr2	NA	0.004	NA
Cdr2l	NA	0.027	NA
Cds1	NA	0.065	NA
Cds2	NA	0.116	NA
Cdsn	NA	0.001	NA
Cdt1	NA	0.001	NA
Cdv3	NA	0.044	NA
Cdyl	NA	0.01	NA
Cdyl2	NA	0.022	NA
Ceacam1	NA	0.007	NA
Ceacam2	NA	0.001	NA
Cebpa	NA	0.003	NA
Cebpb	NA	0.009	NA
Cebpg	NA	0.078	NA
Cebpz	NA	0.15	NA
Cecr2	NA	0.013	NA
Cecr5	NA	0.04	NA
Cecr6	NA	0.052	NA
Cela1	NA	0.001	NA
Celf1	NA	0.302	NA
Celf2	NA	0.639	NA
Celf3	NA	0.152	NA
Celf4	NA	0.381	NA
Celf5	NA	0.302	NA
Celf6	NA	0.021	NA
Celsr1	NA	0.005	NA
Celsr2	NA	0.121	NA
Celsr3	NA	0.107	NA
Cend1	NA	0.065	NA
Cenpa	NA	0.006	NA
Cenpb	NA	0.021	NA
Cenpc1	NA	0.088	NA
Cenpe	NA	0.008	NA
